game,state
SonicTheHedgehog-Genesis,SpringYardZone.Act3
SonicTheHedgehog-Genesis,SpringYardZone.Act2
SonicTheHedgehog-Genesis,GreenHillZone.Act3
SonicTheHedgehog-Genesis,GreenHillZone.Act1
SonicTheHedgehog-Genesis,StarLightZone.Act2
SonicTheHedgehog-Genesis,StarLightZone.Act1
SonicTheHedgehog-Genesis,MarbleZone.Act2
SonicTheHedgehog-Genesis,MarbleZone.Act1
SonicTheHedgehog-Genesis,MarbleZone.Act3
SonicTheHedgehog-Genesis,ScrapBrainZone.Act2
SonicTheHedgehog-Genesis,LabyrinthZone.Act2
SonicTheHedgehog-Genesis,LabyrinthZone.Act1
SonicTheHedgehog-Genesis,LabyrinthZone.Act3
SonicTheHedgehog2-Genesis,EmeraldHillZone.Act1
SonicTheHedgehog2-Genesis,EmeraldHillZone.Act2
SonicTheHedgehog2-Genesis,ChemicalPlantZone.Act2
SonicTheHedgehog2-Genesis,ChemicalPlantZone.Act1
SonicTheHedgehog2-Genesis,MetropolisZone.Act1
SonicTheHedgehog2-Genesis,MetropolisZone.Act2
SonicTheHedgehog2-Genesis,OilOceanZone.Act1
SonicTheHedgehog2-Genesis,OilOceanZone.Act2
SonicTheHedgehog2-Genesis,MysticCaveZone.Act2
SonicTheHedgehog2-Genesis,MysticCaveZone.Act1
SonicTheHedgehog2-Genesis,HillTopZone.Act1
SonicTheHedgehog2-Genesis,CasinoNightZone.Act1
SonicTheHedgehog2-Genesis,WingFortressZone
SonicTheHedgehog2-Genesis,AquaticRuinZone.Act2
SonicTheHedgehog2-Genesis,AquaticRuinZone.Act1
SonicAndKnuckles3-Genesis,LavaReefZone.Act2
SonicAndKnuckles3-Genesis,CarnivalNightZone.Act2
SonicAndKnuckles3-Genesis,CarnivalNightZone.Act1
SonicAndKnuckles3-Genesis,MarbleGardenZone.Act1
SonicAndKnuckles3-Genesis,MarbleGardenZone.Act2
SonicAndKnuckles3-Genesis,MushroomHillZone.Act2
SonicAndKnuckles3-Genesis,MushroomHillZone.Act1
SonicAndKnuckles3-Genesis,DeathEggZone.Act1
SonicAndKnuckles3-Genesis,DeathEggZone.Act2
SonicAndKnuckles3-Genesis,FlyingBatteryZone.Act1
SonicAndKnuckles3-Genesis,SandopolisZone.Act1
SonicAndKnuckles3-Genesis,SandopolisZone.Act2
SonicAndKnuckles3-Genesis,HiddenPalaceZone
SonicAndKnuckles3-Genesis,HydrocityZone.Act2
SonicAndKnuckles3-Genesis,IcecapZone.Act1
SonicAndKnuckles3-Genesis,IcecapZone.Act2
SonicAndKnuckles3-Genesis,AngelIslandZone.Act1
SonicAndKnuckles3-Genesis,LaunchBaseZone.Act2
SonicAndKnuckles3-Genesis,LaunchBaseZone.Act1
